20/08/2005,11:15 PM,Cod,1, £2.50 
31/12/2009,5:32 PM,Plaice,1, £2.90 
31/12/2009,5:34 PM,Sausage,2, £3.00 
31/12/2009,5:39 PM,Fanta,1, £0.65 
31/12/2009,5:41 PM,Chips (small),4, £3.20 
31/12/2009,5:41 PM,Chips (large),1, £1.00 
31/12/2009,5:49 PM,Sausage,3, £4.50 
31/12/2009,6:57 PM,Cod,4, £10.00 
31/12/2009,7:02 PM,Cod,3, £7.50 
31/12/2009,7:12 PM,Cod,2, £5.00 
31/12/2009,7:19 PM,Chips (large),1, £1.00 
31/12/2009,7:46 PM,Chips (large),4, £4.00 
31/12/2009,7:47 PM,Cod,2, £5.00 
31/12/2009,8:03 PM,Fanta,2, £1.30 
31/12/2009,8:08 PM,Chips (large),3, £3.00 
31/12/2009,8:08 PM,Chips (large),3, £3.00 
31/12/2009,8:08 PM,Plaice,3, £8.70 
31/12/2009,8:16 PM,Cod,3, £7.50 
31/12/2009,8:43 PM,Chips (small),3, £2.40 
31/12/2009,9:04 PM,Plaice,1, £2.90 
31/12/2009,9:08 PM,Haddock,3, £8.55 
31/12/2009,9:20 PM,Haddock,4, £11.40 
31/12/2009,9:44 PM,Coke,1, £0.60 
31/12/2009,9:46 PM,Cod,3, £7.50 
31/12/2009,9:58 PM,Cod,4, £10.00 
31/12/2009,9:58 PM,Plaice,3, £8.70 
31/12/2009,10:08 PM,Chips (large),2, £2.00 
31/12/2009,10:09 PM,Plaice,2, £5.80 
31/12/2009,10:26 PM,Chips (large),1, £1.00 
31/12/2009,10:27 PM,Chips (small),4, £3.20 
31/12/2009,10:29 PM,Haddock,2, £5.70 
31/12/2009,10:34 PM,Haddock,2, £5.70 
31/12/2009,10:54 PM,Coke,4, £2.40 
31/12/2009,11:08 PM,Chips (small),1, £0.80 
31/12/2009,11:21 PM,Chips (small),3, £2.40 
01/01/2010,5:31 PM,Haddock,4, £11.40 
01/01/2010,5:46 PM,Haddock,4, £11.40 
01/01/2010,5:47 PM,Sausage,1, £1.50 
01/01/2010,5:57 PM,Chips (small),3, £2.40 
,,,,
01/01/2010,6:00 PM,Chips (small),3, £2.40 
01/01/2010,6:11 PM,Plaice,2, £5.80 
01/01/2010,6:22 PM,Fanta,1, £0.65 
01/01/2010,6:54 PM,Chips (large),25, £25.00 
01/01/2010,6:57 PM,Cod,25, £62.50 
01/01/2010,7:01 PM,Plaice,2, £5.80 
01/01/2010,7:04 PM,Haddock,3, £8.55 
01/01/2010,7:20 PM,Plaice,4, £11.60 
